lookback,z_short_rc,z_long_rc,z_short_ss,z_long_ss,pnl
5,0.12000000000000001,0.12000000000000001,0.22,0.22,2279551.42
5,0.12000000000000001,0.22,0.02,0.02,2280558.28
5,0.12000000000000001,0.22,0.02,0.12000000000000001,2280558.28
5,0.12000000000000001,0.22,0.02,0.22,2279419.54
5,0.12000000000000001,0.22,0.12000000000000001,0.02,2281002.53
5,0.12000000000000001,0.22,0.12000000000000001,0.12000000000000001,2281002.53
5,0.12000000000000001,0.22,0.12000000000000001,0.22,2279863.79
5,0.12000000000000001,0.22,0.22,0.02,2280424.16
5,0.12000000000000001,0.22,0.22,0.12000000000000001,2280424.16
5,0.12000000000000001,0.22,0.22,0.22,2279285.42
5,0.22,0.02,0.02,0.02,2277887.16
5,0.22,0.02,0.02,0.12000000000000001,2278043.52
5,0.22,0.02,0.02,0.22,2278041.49
5,0.22,0.02,0.12000000000000001,0.02,2279017.13
5,0.22,0.02,0.12000000000000001,0.12000000000000001,2279173.49
5,0.22,0.02,0.12000000000000001,0.22,2279171.46
5,0.22,0.02,0.22,0.02,2278438.76
5,0.22,0.02,0.22,0.12000000000000001,2278595.12
5,0.22,0.02,0.22,0.22,2278593.09
5,0.22,0.12000000000000001,0.02,0.02,2278966.92
5,0.22,0.12000000000000001,0.02,0.12000000000000001,2279123.28
5,0.22,0.12000000000000001,0.02,0.22,2279287.66
5,0.22,0.12000000000000001,0.12000000000000001,0.02,2279014.18
5,0.22,0.12000000000000001,0.12000000000000001,0.12000000000000001,2279170.54
5,0.22,0.12000000000000001,0.12000000000000001,0.22,2279334.92
5,0.22,0.12000000000000001,0.22,0.02,2278435.81
5,0.22,0.12000000000000001,0.22,0.12000000000000001,2278592.17
5,0.22,0.12000000000000001,0.22,0.22,2278756.55
5,0.22,0.22,0.02,0.02,2280349.76
5,0.22,0.22,0.02,0.12000000000000001,2280506.12
5,0.22,0.22,0.02,0.22,2279367.38
5,0.22,0.22,0.12000000000000001,0.02,2280051.30
5,0.22,0.22,0.12000000000000001,0.12000000000000001,2280207.66
5,0.22,0.22,0.12000000000000001,0.22,2279068.92
5,0.22,0.22,0.22,0.02,2279472.93
5,0.22,0.22,0.22,0.12000000000000001,2279629.29
5,0.22,0.22,0.22,0.22,2278490.55
6,0.02,0.02,0.02,0.02,2269232.20
6,0.02,0.02,0.02,0.12000000000000001,2269232.20
6,0.02,0.02,0.02,0.22,2269525.16
6,0.02,0.02,0.12000000000000001,0.02,2269232.20
6,0.02,0.02,0.12000000000000001,0.12000000000000001,2269232.20
6,0.02,0.02,0.12000000000000001,0.22,2269525.16
6,0.02,0.02,0.22,0.02,2268510.11
6,0.02,0.02,0.22,0.12000000000000001,2268510.11
6,0.02,0.02,0.22,0.22,2268803.07
6,0.02,0.12000000000000001,0.02,0.02,2268121.58
6,0.02,0.12000000000000001,0.02,0.12000000000000001,2268121.58
6,0.02,0.12000000000000001,0.02,0.22,2268012.30
6,0.02,0.12000000000000001,0.12000000000000001,0.02,2268880.26
6,0.02,0.12000000000000001,0.12000000000000001,0.12000000000000001,2268880.26
6,0.02,0.12000000000000001,0.12000000000000001,0.22,2268770.98
6,0.02,0.12000000000000001,0.22,0.02,2268037.89
6,0.02,0.12000000000000001,0.22,0.12000000000000001,2268037.89
6,0.02,0.12000000000000001,0.22,0.22,2267928.61
6,0.02,0.22,0.02,0.02,2268121.58
6,0.02,0.22,0.02,0.12000000000000001,2268121.58
6,0.02,0.22,0.02,0.22,2268012.30
6,0.02,0.22,0.12000000000000001,0.02,2268880.26
6,0.02,0.22,0.12000000000000001,0.12000000000000001,2268880.26
6,0.02,0.22,0.12000000000000001,0.22,2268770.98
6,0.02,0.22,0.22,0.02,2268037.89
